GameDay,Pitch,StartTime,EndTime,Home,Away,Referee,Group,League
1,R2,10:00,11:40,SPIELFREI,El Social,BSC Tram 5,H,H
1,R6,10:00,11:25,SPIELFREI,1. FC Brennivin,A.C. Tabula Brisant,E,H
1,R7,10:00,11:55,FC Widerstand Wipkingen,Schachtjor,Aurora,A,M
1,R11,10:00,11:35,Saints FC,Zenit ,AS Lettenwiese,E,H
1,R6,11:25,12:50,A.C. Tabula Brisant,AS Lettenwiese,SPIELFREI,E,H
1,R11,11:35,13:10,Deportivo La Habana,Olympique Lettenwiese,Traktor Emilie,B,M
1,R2,11:40,13:20,BSC Tram 5,A.C. Tabula Entspannt,El Social,H,H
1,R7,11:55,13:50,Aurora,FC Tormotor 07,FC Widerstand Wipkingen,A,M
1,R6,12:50,14:15,Freestylers,Zwietracht Turicum,Gremio,A,M
1,R11,13:10,14:45,Traktor Emilie,Bund Schöne Rosen,Deportivo La Habana,B,M
1,R2,13:20,15:00,Schachtjor Intermezzo,ZüriUtd,A.C. Tabula Entspannt,H,H
1,R7,13:50,15:45,Real Cabron,Ex Hürlimann,Sporting Morgenstern,B,M
1,R6,14:15,15:40,Gremio,Dynamo Röntgen,Freestylers,A,M
1,R11,14:45,16:20,Sputnik,Zürich United,FC Eglisau,B,M
1,R2,15:00,16:20,Divas united,elle real,MaraDonnas,F,F
1,R2,15:00,16:20,MaraDonnas,Rapid Industrie,Divas united,F,F
1,R6,15:40,17:05,Wacker Selnau,Furttals Finest,RotoR,A,M
1,R7,15:45,17:10,Sporting Morgenstern,Real Azul,Real Cabron,B,M
1,R2,16:20,17:40,Loriñas,Real Rosé,Juventinas,F,F
1,R2,16:20,17:25,Juventinas,Blutgretchen,Loriñas,F,F
1,R11,16:20,17:45,FC Eglisau,Atletico Bernina,Sputnik,B,M
1,R6,17:05,18:30,RotoR,A.C. Tabula Rasant,Wacker Selnau,A,M
2,R2,10:00,11:25,Wacker Selnau,Dynamo Röntgen,Schachtjor,A,M
2,R6,10:00,11:25,BSC Tram 5,El Social,Schachtjor Intermezzo,H,H
2,R7,10:00,11:55,SPIELFREI,ZüriUtd,A.C. Tabula Entspannt,H,H
2,R11,10:00,11:55,FC Widerstand Wipkingen,A.C. Tabula Rasant,Aurora,A,M
2,R2,11:25,12:50,Schachtjor,Furttals Finest,Dynamo Röntgen,A,M
2,R6,11:25,12:50,Schachtjor Intermezzo,A.C. Tabula Entspannt,BSC Tram 5,H,H
2,R7,11:55,13:50,SPIELFREI,Zenit ,AS Lettenwiese,E,H
