GameDay,Pitch,StartTime,EndTime,Home,Away,Referee,Group,League,Date
1,R2,10:00,11:40,Maradonnas,Real Rosé,,A,L,05.05.24
1,R2,10:00,11:40,Elle Real,Depordivas,,A,L,05.05.24
1,R6,10:00,11:35,AS Lettenwiese,ZüriUtd,,A,E,05.05.24
1,R7,10:00,11:35,Inter Mezzo,1. FC Brennivin,,A,E,05.05.24
1,R11,10:00,11:35,Widerstand Wipkingen,Aurora,Tormotor,A,M,05.05.24
1,R6,11:35,13:10,AC Tabula Brisant,Zenit Emilie,,A,E,05.05.24
1,R7,11:35,13:10,El Social FC,A.C. Tabula Entspannt,,A,E,05.05.24
1,R11,11:35,13:10,Tormotor,Real Cabron,Dynamo Röntgen,A,M,05.05.24
1,R2,11:40,13:20,Zorras Züri,Zürich United Grrrls,,B,L,05.05.24
1,R2,11:40,13:20,Femmes Terribles,Rapid Industrie,,B,L,05.05.24
1,R6,13:10,14:45,Ex Hürlimann,Traktor Emilie,Atletico Bernina,B,M,05.05.24
1,R7,13:10,14:45,BSC Tram 5,Saints FC,,A,E,05.05.24
1,R11,13:10,14:45,Dynamo Röntgen,Bund Schöne Rosen,Deportivo,A,M,05.05.24
1,R2,13:20,15:20,Sputnik,Zwietracht Turicum,Gremio Porto Riesbach,B,M,05.05.24
1,R6,14:45,16:20,Atletico Bernina,Furttals Finest,Ex Hürlimann,B,M,05.05.24
1,R7,14:45,16:20,FC Eglisau,Real Azül,Sporting Morgenstern,A,M,05.05.24
1,R11,14:45,16:20,Deportivo,Olympique Lettenwiese,Schachtjor,A,M,05.05.24
1,R2,15:20,16:55,Gremio Porto Riesbach,Tabula Rasant,Sputnik,A,M,05.05.24
1,R6,16:20,17:55,Rotor,C.D. El Clandestino,Furttals Finest,B,M,05.05.24
1,R7,16:20,17:55,Sporting Morgenstern,Zürich Freestylers,FC Eglisau,B,M,05.05.24
1,R11,16:20,17:55,Schachtjor,Wacker Selnau,Olympique Lettenwiese,B,M,05.05.24
2,R2,10:00,12:00,AC Tabula Brisant,A.C. Tabula Entspannt,,A,E,12.05.24
2,R6,10:00,12:00,Bund Schöne Rosen,Tabula Rasant,C.D. El Clandestino,A,M,12.05.24
